Pair_name	fs_name	L	pop1_size	pop2_size	divergence_time	mig_pop1	mig_pop2	theta	nu1	nu2	Ts	m12	fs_sanitycheck	-2LL_model	AIC
KY1_US-Vir17-VA1	dadi_objects_duos/probs.KY1.US-Vir17-VA1.delim	330179	19649823.26707184	6782875.119397103	3443005.087916048	4.759290347875068	1.6428479609119206	19201.764001621163	3.784295065528791	1.3062916900350066	4.973077748423495	2.515285021629273	311219.7992931535	-67753.02685176334	135514.05370352668
KY1_US-Vir17-VA1	dadi_objects_duos/probs.KY1.US-Vir17-VA1.delim	330179	15400200.425849807	9618770.023304561	2666276.56224081	14.116161793463297	8.816775765799123	15677.071637346653	3.632694703013644	2.2689350753197584	4.717033541269025	7.77173032556393	311219.7992931535	-112495.85591970281	224999.71183940562
KY1_US-Vir17-VA1	dadi_objects_duos/probs.KY1.US-Vir17-VA1.delim	330179	20502286.767803412	22319977.18575565	837949.1435589902	178.40769186060953	194.22494949907292	9421.200746873365	8.047546901436661	8.761025795592714	2.4668350802803163	44.33840375102627	311219.7992931535	-276961.68803206604	553931.3760641321
KY1_US-Vir17-VA1	dadi_objects_duos/probs.KY1.US-Vir17-VA1.delim	330179	13629739.290614009	12358724.554575814	1923190.7083931677	46.687337486688165	42.33360095022828	10705.214679948065	4.7082513360380105	4.269192546909386	4.982596095440539	19.832134758538835	311219.7992931535	-161284.3540769685	322576.708153937
KY1_US-Vir17-VA1	dadi_objects_duos/probs.KY1.US-Vir17-VA1.delim	330179	1389014.280419536	3511410.8366505867	77461.08053672675	1.324521296304311	3.3483733743994892	94675.9156609262	0.05425436279545711	0.13715435481196014	0.022691998644723863	48.82635158016148	311219.7992931535	-8147.166646891759	16302.333293783518
KY1_US-Vir17-VA1	dadi_objects_duos/probs.KY1.US-Vir17-VA1.delim	330179	32648878.034733508	6043450.172794845	2702400.601845096	9.461668966459667	1.7513963233115133	15866.93770883867	7.609263356457453	1.408507940073832	4.723732808838417	2.4868817185648346	311219.7992931535	-96541.04997622853	193090.09995245707
KY1_US-Vir17-VA1	dadi_objects_duos/probs.KY1.US-Vir17-VA1.delim	330179	27584895.286013838	23842271.02226926	717879.7102506584	207.29277359058406	179.16799892332662	11835.957244456169	8.618574152331993	7.449235483217881	1.682197578170238	48.10372804752055	311219.7992931535	-296553.13997736364	593114.2799547273
KY1_US-Vir17-VA1	dadi_objects_duos/probs.KY1.US-Vir17-VA1.delim	330179	13329282.341747206	6415817.812614356	18974031.81419776	1.8466060310690873	0.888831638737812	115462.94198026678	0.4269053709783406	0.20548346213998459	4.557699813413613	8.651125783857971	311219.7992931535	-53670.2300024736	107348.4600049472
KY1_US-Vir17-VA1	dadi_objects_duos/probs.KY1.US-Vir17-VA1.delim	330179	51702124.9346436	4472102.752709535	9363218.011990733	43.37746837705682	3.7520410617518434	54892.41621127704	3.483080530516579	0.30127763700471893	4.73087529349095	24.90753113343806	311219.7992931535	-92572.19605435287	185152.39210870574
KY1_US-Vir17-VA1	dadi_objects_duos/probs.KY1.US-Vir17-VA1.delim	330179	16179760.672019165	17900419.90423734	1164902.252916627	101.3752655682962	112.15615968376459	7388.9549224369675	8.097604229021943	8.958755253314365	4.37255398697679	25.038335463461063	311219.7992931535	-235806.89554153744	471621.7910830749
KY1_US-Vir17-VA1	dadi_objects_duos/probs.KY1.US-Vir17-VA1.delim	330179	8770341.42179102	12133878.298498003	3743412.7499369634	0.9608490666223202	1.3293468380435918	23683.1330670338	1.3694456972235416	1.894645445070809	4.383866015417359	1.4032671300079682	311219.7992931535	-51894.7460870171	103797.4921740342
KY1_US-Vir17-VA1	dadi_objects_duos/probs.KY1.US-Vir17-VA1.delim	330179	12133905.609391915	10965428.602016814	1862486.6391716374	94.7536561353789	85.62902041436101	10587.121183780624	4.238285404253289	3.8301448430039717	4.879148024042129	44.71320220214043	311219.7992931535	-150557.79750479915	301123.5950095983
KY1_US-Vir17-VA1	dadi_objects_duos/probs.KY1.US-Vir17-VA1.delim	330179	6553523.490541418	1410351.2025189316	31733.452309544307	4.915831468595011	1.057911646020606	79482.51814594607	0.3049093296268571	0.06561802064479247	0.01107323243819452	32.244546105630306	311219.7992931535	-38022.49513231795	76052.9902646359
KY1_US-Vir17-VA1	dadi_objects_duos/probs.KY1.US-Vir17-VA1.delim	330179	19756244.113582186	11054991.034862662	1339270.6478350183	167.9834713270692	93.99842190900824	7906.599494865102	9.240215798137521	5.170542650785498	4.697938449814626	36.35920956757922	311219.7992931535	-193216.96189839783	386441.92379679566
KY1_US-Vir17-VA1	dadi_objects_duos/probs.KY1.US-Vir17-VA1.delim	330179	1401155.470383371	2489534.285224301	64643.624558428106	1.3058638042738913	2.3202226885527426	95740.71531025563	0.054119917928678034	0.0961587732731078	0.01872654866682176	48.258159075363885	311219.7992931535	-5528.600327836126	11065.200655672252
KY1_US-Vir17-VA1	dadi_objects_duos/probs.KY1.US-Vir17-VA1.delim	330179	16018525.034219401	12529564.858037291	1289094.569066257	69.83000382842874	54.620482231429555	21124.096308759108	2.804218537902663	2.193437783547723	1.692526012484519	49.80353912120997	311219.7992931535	-176045.94744449906	352099.8948889981
KY1_US-Vir17-VA1	dadi_objects_duos/probs.KY1.US-Vir17-VA1.delim	330179	1499603.2464731243	55812438.02521022	15559.602864414075	1.1987643389027034e-07	4.4615774558499745e-06	71709.10529877462	0.07733383341554478	2.8782211527670087	0.006018010156658525	3.1002325527076256e-06	311219.7992931535	-38111.33764383556	76230.67528767113
KY1_US-Vir17-VA1	dadi_objects_duos/probs.KY1.US-Vir17-VA1.delim	330179	8232713.85814338	10791252.338477952	5772015.9029423315	1.1695978724159057	1.5330820423574554	34676.391669132834	0.8779637643653964	1.1508147481568873	4.616600896189161	2.664342014755714	311219.7992931535	-37706.05736450457	75420.11472900915
KY1_US-Vir17-VA1	dadi_objects_duos/probs.KY1.US-Vir17-VA1.delim	330179	12341577.028951671	6979477.466435586	14787212.827696837	2.261122605995063	1.278722665699002	87939.42585382317	0.518984637999531	0.2934990866926218	4.663708633842649	8.71363982838007	311219.7992931535	-42269.48937770104	84546.97875540207
KY1_US-Vir17-VA1	dadi_objects_duos/probs.KY1.US-Vir17-VA1.delim	330179	8589498.191368233	14855081.728283137	3060945.5453192536	1.1794539169334395	2.0398030176427553	17394.03509639632	1.826143581132125	3.1582185060075303	4.880720901056831	1.2917428061184897	311219.7992931535	-56518.00495890152	113044.00991780304
KY1_US-Vir17-VA1	dadi_objects_duos/probs.KY1.US-Vir17-VA1.delim	330179	10059173.906304339	18978180.360212985	1659038.432610114	57.05994253604832	107.65236697158966	9227.87579653929	4.0311415335150915	7.605369167804937	4.986357572173544	28.309570409100946	311219.7992931535	-172409.71161546107	344827.42323092214
KY1_US-Vir17-VA1	dadi_objects_duos/probs.KY1.US-Vir17-VA1.delim	330179	12559302.729836488	18284571.985072404	1381388.930603182	73.66643368863977	107.24792917552621	8305.333439695161	5.592112841322975	8.141326950652214	4.613044146008844	26.3465476391252	311219.7992931535	-200947.58834146595	401903.1766829319
KY1_US-Vir17-VA1	dadi_objects_duos/probs.KY1.US-Vir17-VA1.delim	330179	3962663.0414221766	49855397.49008868	4064195.1396720516	1.4174041963424189	17.83276773071516	35892.57945283003	0.40827232735446056	5.136590962110949	3.140498526218684	6.943425264832283	311219.7992931535	-86047.00330292925	172102.0066058585
KY1_US-Vir17-VA1	dadi_objects_duos/probs.KY1.US-Vir17-VA1.delim	330179	3690.9225039750677	6195.094150418806	45.220268412914905	4.130216358374243e-09	6.932434689206138e-09	80819.12611999472	0.00016888389903972287	0.00028346616703929983	1.5518427009349778e-05	4.891190198543181e-05	311219.7992931535	-13000.30684952942	26008.61369905884
