Pair_name	fs_name	L	theta	nuB	nuF	T	fs_sanitycheck	-2LL_model	AIC
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	942048.0451944736	9.97511873329127	0.4477592116825386	0.5122039041215917	3981059.8794063646	-753720.8997634439	1507447.7995268877
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	265737.05275008373	2.600987628655801	4.873205670763558	4.826109856089723	3981059.8794063646	-1105022.539598128	2210051.079196256
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	910671.6416107905	8.082861915500443	6.085952446604537	0.008704107848605461	3981059.8794063646	-968795.9107989471	1937597.8215978942
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	1068234.375471598	9.927496953629918	0.26575387883126794	0.20872444310824867	3981059.8794063646	-740734.5676726914	1481475.1353453828
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	1174866.6454734323	9.497556076987982	0.18533458466551897	0.16747393192896431	3981059.8794063646	-752462.5514141603	1504931.1028283206
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	996192.5559272703	9.465954143975921	0.37598206194703215	0.3637788494443462	3981059.8794063646	-747525.1839255254	1495056.3678510508
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	913675.4158590772	7.046901196581879	0.4977750941004437	0.28690608252264926	3981059.8794063646	-782248.9544331204	1564503.9088662409
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	1110883.449609708	9.646428364189738	0.17168586110808412	0.09828723176320579	3981059.8794063646	-739043.1554840747	1478092.3109681495
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	304701.2825524024	5.754711833267858	3.8391211326957424	2.814015615948594	3981059.8794063646	-1099383.3813536365	2198772.762707273
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	108624526.7618204	0.03872634967649089	0.008637779465477249	2.625262743600678	3981059.8794063646	-900521.1879658371	1801048.3759316741
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	1104931.224053743	5.051483721180319	0.5179366186045988	2.1499060689501723	3981059.8794063646	-845053.4613965247	1690112.9227930494
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	1143148.3426760987	0.00276977422675449	0.00020463191194076478	3.2329659274589824e-05	3981059.8794063646	-731897.8753986824	1463801.7507973649
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	729173.3173168808	4.131175019448436	0.9556071449064029	2.142741886320922	3981059.8794063646	-833046.0318098279	1666098.0636196558
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	266606.37857831636	8.334243349236392	3.5818736738038615	4.690878686286038	3981059.8794063646	-925736.2443433182	1851478.4886866363
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	710802.3470148442	9.551602957160247	0.8207862503774235	1.2220866269549122	3981059.8794063646	-786706.7926264945	1573419.585252989
