GO:0032543	6.924	11	0.0481400000	0.5523472727	11	27	27	mitochondrial translation	108016088,108016073,108007021,108010059,108014463,108015786,108009199,108007506,108009342,108014142,108017269
GO:0003700	15.384	20	0.0488700000	0.5523472727	20	35	35	DNA-binding transcription factor activity	108016021,108021403,108019012,108012428,108009871,108005531,108008750,118877875,108021790,108010190,108015193,118877515,108010220,108006381,108011674,108017804,108014749,108018447,108004753,108004767
GO:0016020	372.015	391	0.0494500000	0.5525483051	391	762	773	membrane	108014260,108018627,108020919,108019931,108015566,108020977,108020978,118877974,108006680,108009717,108005357,108014290,108005358,108020957,108005324,108014288,108005339,108016041,108016040,108016047,108016039,108016037,108009722,108010712,108010708,108020986,108018670,108009781,108007101,108010757,108021406,108008437,108008443,108008440,108008379,108020021,108021350,108013709,108009681,108008367,108010674,108021398,108011110,108020057,108021364,108004855,108012480,108012484,108015500,108016824,108019086,108016887,108015543,108014201,108007911,108011161,108005432,108015694,108013032,108014365,108006746,108005411,108018783,108009804,108013070,118876763,108010853,108010856,108009877,108016151,108005486,108008527,108016135,108018792,108010830,108019215,108009898,108010869,108016175,108007174,108021457,108021448,108007155,108021435,108016915,108019187,108007183,108004923,108019165,108016948,108011264,108015607,108015605,108015672,108014349,108014335,108016998,108016983,108018849,108013157,108008617,108010921,108016237,108005563,108005564,118877710,108009989,108009995,108016269,108007361,108018021,108007360,108012701,108021663,108020313,118877790,108018001,108018008,108021597,108007268,108013934,108021561,108011348,108015714,108009038,108012672,108013997,108012648,108019286,108015727,108010046,108005517,108006812,139352153,108013101,108014436,108013291,108017647,108016300,108018959,108013269,108021708,108015033,108008748,108017673,108005696,108008727,108015000,108019437,108008786,108016393,108015045,108006151,108018140,108019478,108020448,108008794,108012817,108018120,108018123,108015080,108019389,108007389,108011409,108018045,108012744,136116597,108009146,108018098,108010135,108010136,108009124,108018081,108018083,108015810,108014528,108010171,108010172,108013200,108013204,108009163,118877099,108009172,108005602,108018914,108014552,108012087,108017746,108019510,108019512,108021818,108019509,108018223,108018226,108015182,108018215,108008877,108018206,108007550,108006225,108012952,108019576,108007597,108007598,108006269,108009222,108018182,108018189,108010205,108009233,108009234,108018174,108018179,108009202,108009203,108019490,118877597,108018167,108011514,108009212,108009261,108010255,108012893,108012895,108010236,108015992,108015995,108015993,108015997,108015981,108013322,108013312,108009281,118878059,108013355,108017705,108013349,108016560,108008907,108008972,108015271,118877610,108007652,108016592,118877629,108004596,108008954,108006308,108007633,108015246,108020663,108006364,108005035,108005036,108017000,108018335,108017006,136117178,108005001,108020633,108019659,108015287,108015288,108019648,108005046,108009401,108009408,118877679,108020667,108018297,108006298,108018283,108018287,108008009,108009385,108009363,108021016,108009362,108009375,108017812,108013438,108013440,108021062,108013428,108008077,108008075,108014768,108021042,108013497,108017819,108017823,108017996,108015337,108012292,108020729,108006418,108018403,108014046,108011825,108019792,108019785,108011805,108020746,108009542,108005184,108010526,108011843,108008207,108020792,108021108,108017098,108014805,108009478,108009473,108017084,108005084,108017072,118877357,108005081,108008121,108008123,108008122,108017064,108021158,108021155,108021147,108021143,108021144,108021131,108014840,108008165,108017919,108021185,108012232,108013568,108013548,108017914,108021168,136116878,108015318,108004666,136116855,108004635,139353001,108012266,108016609,108005971,108012255,108007842,108007850,108016794,108015450,108019815,108016775,108006557,108019874,136116904,136116901,108014186,108017219,108006565,108020839,108018511,108009629,108010610,108009602,108019894,108019895,108019899,108019884,108014198,108014196,108005296,108009659,108008326,108017266,108013600,108021204,108021205,108012318,108008298,108021278,108012315,108013616,139352496,108015430,108012390,108004755,108015413,108015411,108016735
GO:0007346	2.503	5	0.0513400000	0.5525483051	5	7	8	regulation of mitotic cell cycle	108007976,108008471,108007378,108012835,108009382
GO:0005955	2.191	4	0.0516500000	0.5525483051	4	5	5	calcineurin complex	108011132,108009069,118878367,108012146
GO:0097720	2.191	4	0.0516500000	0.5525483051	4	5	5	calcineurin-mediated signaling	108011132,108009069,118878367,108012146
GO:0008028	8.848	12	0.0524500000	0.5594360656	12	14	16	monocarboxylic acid transmembrane transporter activity	108009681,108016915,108010136,108009203,108015287,108015288,108009385,108008075,108017996,136116878,108015413,108015411
GO:0000226	20.477	25	0.0534000000	0.5594360656	25	37	37	microtubule cytoskeleton organization	108009747,108020101,108013766,108011139,108011140,108007166,108020143,108013005,108021570,108020404,108006055,108010141,108009180,108015852,108021819,108019526,108015212,108016595,108008963,108017005,108014833,108012278,108018514,108010600,108004715
GO:0003743	15.079	20	0.0552300000	0.5637493651	20	45	55	translation initiation factor activity	108018629,108007069,108005426,108004924,108020151,108012712,108012673,108015766,108006120,108020374,108010107,108018904,108018230,108009211,108017728,108014783,108014756,108005221,108014928,108012363
GO:0000387	3.232	6	0.0556500000	0.5637493651	6	14	14	spliceosomal snRNP assembly	108016026,108009863,108020118,108007280,108010159,108008332
GO:0031204	1.083	3	0.0568100000	0.5707710937	3	6	6	post-translational protein targeting to membrane, translocation	108008367,108008907,108021125
GO:0042776	1.059	3	0.0604800000	0.6057580000	3	6	6	proton motive force-driven mitochondrial ATP synthesis	108008639,108020422,108014633
GO:0004143	4.477	6	0.0618400000	0.6138000000	6	6	6	ATP-dependent diacylglycerol kinase activity	108013811,108021398,108015754,108009537,108019818,108014920
GO:0046949	5.756	9	0.0650400000	0.6228393056	9	15	15	fatty-acyl-CoA biosynthetic process	108008503,139353152,108019245,108008708,108011538,108010263,108010264,108005116,108014181
GO:0062129	15.524	20	0.0661300000	0.6228393056	20	59	60	chitin-based extracellular matrix	108008433,108008441,108004812,108009831,108009832,108008579,108012509,108012510,108008614,108012622,108012688,108012663,108018827,108006843,108008728,108012736,108008891,108019678,108019688,108008903
GO:0008010	15.524	20	0.0661300000	0.6228393056	20	59	60	structural constituent of chitin-based larval cuticle	108008433,108008441,108004812,108009831,108009832,108008579,108012509,108012510,108008614,108012622,108012688,108012663,108018827,108006843,108008728,108012736,108008891,108019678,108019688,108008903
GO:0005930	15.772	20	0.0663900000	0.6228393056	20	33	34	axoneme	108017312,108021329,108009864,108019225,108020148,108006879,108005535,108010984,108012645,108012606,108018804,108021736,108012831,108009132,136116540,108018931,108019642,108008120,108021122,108010656
