Pair_name	fs_name	L	pop1_size	pop2_size	divergence_time	mig_pop1	mig_pop2	Mij	Mji	theta	nu1	nu2	Ts	m12	m21	fs_sanitycheck	-2LL_model	AIC
KY18_US-Vir18-VA3	dadi_objects_duos/probs.KY18.US-Vir18-VA3.delim	4399488	3979274.844301411	93170319.37486762	1465159.9108861298	2.3219490154796287	44.21645112837916	5.835105908315973e-07	4.7457657572768184e-07	726852.6189201457	0.2697601143197475	6.316134720315872	0.7449378984112178	17.214917196597977	14.001110833230577	3959392.543375151	-574211.7437555568	1148433.4875111135
KY18_US-Vir18-VA3	dadi_objects_duos/probs.KY18.US-Vir18-VA3.delim	4399488	24671861.90539747	12709946.326451592	2219984.675730304	7.615939611217559	76.43946199269135	3.0868929310727934e-07	6.014145145019821e-06	165792.27273786275	7.332596726599097	3.7774575419539147	4.948426150871414	2.0772830949752445	40.471381157153935	3959392.543375151	-1096372.5744848424	2192755.1489696847
KY18_US-Vir18-VA3	dadi_objects_duos/probs.KY18.US-Vir18-VA3.delim	4399488	2692964.1480930904	3233244.8507882403	67667.5374218022	2.7180132589405943	1.7741112060297863	1.0093016874603553e-06	5.487092032628682e-07	1148164.5117896567	0.11557039894708583	0.13875691496442863	0.021779988911449142	47.03649522201689	25.571499719269386	3959392.543375151	-91237.97958732807	182485.95917465613
KY18_US-Vir18-VA3	dadi_objects_duos/probs.KY18.US-Vir18-VA3.delim	4399488	19905741.416145105	19247740.785876952	2328323.422677046	56.22410731779754	8.700452793473566	2.8245171150568357e-06	4.5202462409809323e-07	247334.28241230352	3.9656483522530985	3.8345605891473253	3.47888755684466	28.35556878655345	4.537913844990645	3959392.543375151	-939275.5106243276	1878561.0212486552
KY18_US-Vir18-VA3	dadi_objects_duos/probs.KY18.US-Vir18-VA3.delim	4399488	8242663.247451913	22155143.170569077	2765946.039107737	14.462257870993746	48.54902052523898	1.7545612912749433e-06	2.1913205503330515e-06	236735.49554510255	1.7156327874326924	4.611384560135223	4.317792077544595	16.85938620074446	21.056157816434784	3959392.543375151	-705628.6180031471	1411267.2360062941
KY18_US-Vir18-VA3	dadi_objects_duos/probs.KY18.US-Vir18-VA3.delim	4399488	14699142.939479962	16000417.474378774	1248914.2052154944	147.55656501670902	132.85330375380812	1.0038446841712894e-05	8.303114838506189e-06	116069.59713696362	6.24013084526889	6.79255239779189	3.9764500373308964	47.29277916618773	39.117343812318865	3959392.543375151	-826585.4493950855	1653180.898790171
KY18_US-Vir18-VA3	dadi_objects_duos/probs.KY18.US-Vir18-VA3.delim	4399488	41334642.82007625	28786293.34641815	701508.612276788	134.34389445747402	55.91903643524946	3.250152542559849e-06	1.942557722257333e-06	330022.45197663613	6.17150183752274	4.297960503885165	0.7855447352142194	43.53685634205371	26.02119604621826	3959392.543375151	-1704463.2698275736	3408936.539655147
KY18_US-Vir18-VA3	dadi_objects_duos/probs.KY18.US-Vir18-VA3.delim	4399488	32072846.96536408	16202368.784371426	2509538.036293461	26.09185707562638	2.4432552191015553	8.135185848578813e-07	1.5079617379517273e-07	266584.200656813	5.928205707711789	2.9947754625490157	3.478890644480632	8.80261528093886	1.6316784010391003	3959392.543375151	-904478.5187426035	1808967.037485207
KY18_US-Vir18-VA3	dadi_objects_duos/probs.KY18.US-Vir18-VA3.delim	4399488	4322747.373541397	18474712.171343777	3953719.128115427	2.4890930923067707	3.1905581575213575	5.758127591591338e-07	1.7269866658438387e-07	343854.6024287155	0.6194484549606639	2.647420938921607	4.24925088925015	8.03648171974158	2.410314212307311	3959392.543375151	-247886.33936945026	495782.6787389005
KY18_US-Vir18-VA3	dadi_objects_duos/probs.KY18.US-Vir18-VA3.delim	4399488	31003058.624432214	2481026.0473884623	2418601.987954402	40.928531490062284	9.033991047827133	1.3201449568530061e-06	3.641231843307871e-06	317097.84029553906	4.817607536048976	0.38553001908054024	2.818723804583609	16.991226945658866	46.86530542743475	3959392.543375151	-656035.7951717403	1312081.5903434807
