GO:0000395	mRNA 5'-splice site recognition	108007625 108015197 108020118
GO:0000398	mRNA splicing, via spliceosome	108004562 108004570 108004575 108004699 108004807 108005122 108005188 108005791 108005911 108005911 108006559 108007182 108007886 108008332 108008743 108009102 108009102 108009177 108009249 108009413 108009560 108009563 108009563 108009942 108010115 108011127 108011328 108011470 108011558 108011558 108011631 108011631 108011720 108012402 108012698 108012704 108012803 108013108 108013282 108013299 108013523 108013523 108013526 108013731 108014257 108014764 108014823 108015252 108015676 108015778 108015778 108015848 108016279 108016279 108016375 108016551 108016599 108016972 108016972 108017126 108017484 108017796 108017796 108017899 108018210 108018233 108018274 108018930 108018938 108018938 108019085 108019085 108019491 108019493 108019493 108019600 108020064 108020112 108020118 108020118 108020734 108020734 108020870 108020890 108020901 108021177 108021199 108021288 108021289 108021303 108021388 108021438 108021438 108021552 108021552 118877925
GO:0000400	four-way junction DNA binding	108008644 108010437 108011710 108014474 108017037 108017497
GO:0000403	Y-form DNA binding	108020231
GO:0000407	phagophore assembly site	108004843 108006072 108006975 108007276 108009581 108010104 108013211 108015001 108015249 108015927 108018176 108018414
GO:0000408	EKC/KEOPS complex	108012543 108018839 108018839 136117019
GO:0000413	protein peptidyl-prolyl isomerization	108006325 108006933 108007406 108008395 108008416 108008589 108009059 108009536 108009536 108009741 108009741 108010051 108011147 108011489 108012106 108012863 108013115 108013155 108013155 108014732 108014832 108015425 108017794 108019809 108021330 139354331
GO:0000417	HIR complex	108004710
GO:0000421	autophagosome membrane	108004757 108012042 108015511
GO:0000422	autophagy of mitochondrion	108004757 108006975 108007276 108007994 108010104 108012042 108012395 108012492 108013091 108013175 108013211 108015346 108015927 108018176 108018448 108021167 108021689 108021826 139354589
GO:0000423	mitophagy	108006072 108007207 108021128
GO:0000439	transcription factor TFIIH core complex	108006057 108006057 108007657 108007657 108007703 108008321 108011372 108011372
GO:0000445	THO complex part of transcription export complex	108006094 108010211 108013048 108014371 108019234
GO:0000447	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	108008423 108011422 108013453 108016563 108016648 108017800
GO:0000448	cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	108009597
GO:0000454	snoRNA guided rRNA pseudouridine synthesis	108008096
GO:0000455	enzyme-directed rRNA pseudouridine synthesis	108005031 108021545
GO:0000460	maturation of 5.8S rRNA	108007655 108009468 108014088 108015018 108019074 108019928 108020931 108021212 108021492
